PACK	num_SNPs
0	0
1	57446
2	93038
3	126430
4	156178
5	185788
6	210625
7	233411
8	254368
9	278811
10	298939
11	319030
12	339524
13	359449
14	378219
15	396377
16	414155
17	430966
18	448660
19	465640
20	482363
21	499258
22	526412
23	544752
24	560300
25	576636
26	592810
27	608064
28	623136
29	638785
30	657139
31	671645
32	685762
33	700545
34	713447
35	726761
36	739602
37	753899
38	767539
39	779789
40	794122
41	808149
42	819451
43	832077
44	845731
45	858378
46	871116
47	883869
48	895293
49	906548
50	918982
51	930038
52	942771
53	954508
54	965815
55	977558
56	989602
57	1001904
58	1012806
59	1024368
60	1035530
61	1046875
62	1055996
63	1065945
64	1077677
65	1088137
66	1098791
67	1109678
68	1119545
69	1130172
70	1139854
71	1149858
72	1159408
73	1168276
74	1178474
75	1188408
76	1197565
77	1207016
78	1215443
79	1224370
80	1234576
81	1243137
82	1252758
83	1262823
84	1273016
85	1282492
86	1292025
87	1301898
88	1310934
89	1319509
90	1329479
91	1337516
92	1346315
93	1355980
94	1363880
95	1374218
96	1382706
97	1391510
98	1400083
99	1407537
100	1416998
101	1424964
102	1433153
103	1441104
104	1449932
105	1457284
106	1465421
107	1473709
108	1481191
109	1488867
110	1496253
111	1503932
112	1511796
113	1519400
114	1527382
115	1535454
116	1543002
117	1550014
118	1557221
119	1565327
120	1572933
121	1580248
122	1586887
123	1594006
124	1601255
125	1608288
126	1615247
127	1620941
128	1628800
129	1635906
130	1643734
131	1651476
132	1659120
133	1665084
134	1672151
135	1679112
136	1686254
137	1692254
138	1698300
139	1705187
140	1711148
141	1717888
142	1724674
143	1731552
144	1737729
145	1744150
146	1751729
147	1757728
148	1763625
149	1770239
150	1776587
151	1783161
152	1789184
153	1795892
154	1802660
155	1808886
156	1814664
157	1821925
158	1826707
159	1832861
160	1838897
161	1845716
162	1851993
163	1858223
164	1864128
165	1870596
166	1877109
167	1883167
168	1889191
169	1895285
170	1900704
171	1906982
172	1912831
173	1918697
174	1925042
175	1930823
176	1936529
177	1942005
178	1947780
179	1953840
180	1958889
181	1964387
182	1969770
183	1976113
184	1981566
185	1987389
186	2013364
187	2018857
188	2024343
189	2031026
190	2036636
191	2041775
192	2047132
193	2052153
194	2057399
195	2063309
196	2068615
197	2074049
198	2078958
199	2084566
200	2090007
201	2094811
202	2099097
203	2104153
204	2109127
205	2115080
206	2119967
207	2124934
208	2130390
209	2135323
210	2141148
211	2145961
212	2150896
213	2155635
214	2161125
215	2165299
216	2170729
217	2175803
218	2181040
219	2185692
220	2191037
221	2196212
222	2201904
